事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
中国在巴黎和会上外交失败,,由于中国在巴黎和会上的外交失败，北京学生3000余人到天安门前集会，游行示威，掀起彻底反帝反封建的爱国革命运动（五四运动）,1919年5月,巴黎,访问事件,,,,,,,,,,,
五四运动,,五四运动后，传播马克思主义的文章、图书大量出现。李大钊、陈独秀、李达、李汉俊、毛泽东、何叔衡、董必武、陈潭秋、邓中夏、何孟雄、高君宇、王尽美、邓恩铭等具有初步共产主义思想的先进分子开始在工人群众中宣传马克思主义。五四运动是近代中国革命史上具有划时代意义的事件，标志着新民主主义革命的伟大开端。五四运动以彻底反帝反封建的革命性、追求救国强国真理的进步性、各族各界群众积极参与的广泛性，推动了中国社会进步，促进了马克思主义在中国的广泛传播，促进了马克思主义同中国工人运动的结合，为中国共产党成立做了思想上干部上的准备，在近代以来中华民族追求民族独立和发展进步的历史进程中具有里程碑意义。五四运动孕育了以爱国、进步、民主、科学为主要内容的伟大五四精神，其核心是爱国主义精神。,1919年5月4日,北京,运动事件,"周恩来,包惠僧",,五四精神、爱国主义精神,,,,,,,,
北京大学马克思主义研究会成立,,李大钊在北京大学组织成立马克思学说研究会。,1920年3月,北京,成立事件,李大钊,马克思学说研究会,,,,,,,,,
上海马克思主义研究会成立,,5月，陈独秀在上海发起组织马克思主义研究会。上海、北京的研究会同湖北、湖南、浙江、山东、广东、天津等地及海外的先进分子逐步建立联系，进一步促进了马克思主义的传播。,1920年5月,上海,成立事件,陈独秀,马克思学说研究会,,,,,,,,,
上海共产党早期组织成立,,8月，陈独秀等在上海成立共产党早期组织。这实际上是中国共产党的发起组织，是各地共产主义者进行建党活动的联络中心。同月，陈望道翻译的《共产党宣言》中文全译本出版。,1920年8月,上海,成立事件,陈独秀,共产党早期组织,,,,,,,,,
北京共产党早期组织成立,,10月，李大钊等在北京成立共产党早期组织。到1921年春，武汉、长沙、济南、广州等地及旅日、旅法华人中陆续成立共产党早期组织。,1920年10月,北京,成立事件,李大钊,共产党早期组织,,,,,,,,,
长沙共产党早期组织成立,,,1920年,长沙,成立事件,"毛泽东,何叔衡",,,,,,,,,,
济南共产党早期组织成立,,,1921年,济南,成立事件,"王尽美,邓恩铭",,,,,,,,,,
广州共产党早期组织成立,,,1920年,广州,成立事件,陈独秀,,,,,,,,,,
旅日华人中的共产党早期组织成立,,,1920年,东京,成立事件,陈独秀,,,,,,,,,,
旅法华人中的共产党早期组织成立,,,1921年,巴黎,成立事件,陈独秀,,,,,,,,,,
中国共产党第一次全国代表大会,,大会确定党的名称为“中国共产党”，通过中国共产党的第一个纲领和决议。大会选举产生中央局，陈独秀为中央局书记。党的一大宣告中国共产党正式成立。中国共产党的成立，是近代中国历史发展的必然产物，是中国人民在救亡图存斗争中顽强求索的必然产物，是实现中华民族伟大复兴的必然产物。中国共产党作为中国最先进的阶级——工人阶级的政党，不仅代表着工人阶级的利益，而且代表着整个中国人民和中华民族的利益。它从一开始就坚持以马克思主义为行动指南，始终把为中国人民谋幸福、为中华民族谋复兴作为初心和使命。中国共产党的成立，是中华民族发展史上开天辟地的大事变，具有伟大而深远的意义。中国共产党的成立，充分展现了开天辟地、敢为人先的首创精神，坚定理想、百折不挠的奋斗精神，立党为公、忠诚为民的奉献精神。这是中国革命精神之源、精神之基、精神之本。,1921年7月23日,"上海,浙江",会议事件,"李达,李汉俊,张国焘,刘仁静,毛泽东,何叔衡,董必武,陈潭秋,王尽美,邓恩铭,陈公博,周佛海,包惠僧",中国共产党,,,,,,,,,
中国劳动组合书记部成立,,这是中国共产党领导工人运动的第一个公开机构。,1921年8月11日,上海,成立事件,,,,,,,,,,,
浙江萧山衙前村农民大会召开,,在中国共产党领导下，浙江萧山衙前村农民大会召开，中国第一个新型农民组织宣告成立。1922年7月，彭湃在广东海丰成立第一个秘密农会。到1923年5月，海丰、陆丰、惠阳三县很多地方成立了农会，会员达到20多万人；9月，湖南衡山白果地区农民成立岳北农工会。,1921年9月27日,浙江,会议事件,,,,,,,,,,,
香港海员举行罢工,,香港海员举行罢工。以此为起点，1923年2月京汉铁路工人罢工为终点，中国共产党领导工人运动掀起第一次高潮。其间，全国发生大小罢工100多次，参加人数达30万以上。,1922年1月,香港,运动事件,,,,,,,,,,,
中国社会主义青年团第一次全国代表大会召开,,,1922年5月5日－1922年5月10日,广州,会议事件,,,,,,,,,,,
中国社会主义青年团成立,,中国社会主义青年团第一次全国代表大会在广州召开，中国社会主义青年团成立。,1922年5月,广州,成立事件,,中国社会主义青年团,,,,,,,,,
《中国共产党对于时局的主张》发表,,中共中央发表《中国共产党对于时局的主张》，指出解决时局的关键，是用革命手段打倒帝国主义和封建军阀，建立民主政治。这是中国共产党第一次向社会各界公开自己的政治主张。,1922年6月15日,,文献事件,,,,,,,,,,,
中国共产党第二次全国代表大会召开,,大会第一次提出明确的反帝反封建的民主革命纲领，区分了最高纲领和最低纲领。大会通过第一个党章，并通过决议案，决定中国共产党加入共产国际。大会选举产生中央执行委员会，中央执行委员会推选陈独秀为委员长。,1922年7月16日－1922年7月23日,上海,会议事件,,,反帝反封建的民主革命纲领,,,,,,,,
“反帝反封建的民主革命纲领”提出,,大会第一次提出明确的反帝反封建的民主革命纲领，区分了最高纲领和最低纲领。大会通过第一个党章，并通过决议案，决定中国共产党加入共产国际。大会选举产生中央执行委员会，中央执行委员会推选陈独秀为委员长。,1922年7月16日－1922年7月23日,上海,决策事件,陈独秀,,,,,,,,,,
《向导》周报创刊,,中共中央机关报《向导》周报创刊。党的创建和大革命时期，中共中央还创办了《新青年》、《前锋》、《中国共产党党报》等刊物。,1922年9月13日,上海,成立事件,,,,,,,,,,,
安源路矿工人罢工,,安源路矿工人在毛泽东、李立三、刘少奇等组织领导下，举行罢工斗争，取得胜利。罢工之前成立的安源路矿工人俱乐部得到巩固和发展。,1922年9月14日－1922年9月18日,江西,运动事件,"毛泽东,李立三,刘少奇",,,,,,,,,,
京汉铁路工人罢工,二七大罢工、二七工仇、二七惨案,香港海员举行罢工。以此为起点，1923年2月京汉铁路工人罢工为终点，中国共产党领导工人运动掀起第一次高潮。其间，全国发生大小罢工100多次，参加人数达30万以上。,1923年2月4日－1923年2月9日,河南郑州,运动事件,,,,,,,,,,,
中国共产党第三次全国代表大会召开,,大会决定共产党员以个人身份加入国民党，以实现国共合作。大会规定共产党员加入国民党时，党必须在政治上、思想上、组织上保持自己的独立性。大会选举产生中央执行委员会，中央执行委员会选举组成中央局，陈独秀为委员长。大会以后，国共合作步伐大大加快。共产党的各级组织动员党员和革命青年加入国民党，在全国范围内积极推进国民革命运动。,1923年6月12日－1923年6月20日,广州,会议事件,陈独秀,,,,,,,,,,
中国国民党第一次全国代表大会召开,,中国国民党在广州召开第一次全国代表大会，通过共产党人参加起草的以反帝反封建为主要内容的宣言，事实上确立了联俄、联共、扶助农工的三大革命政策。大会选举产生中国国民党中央执行委员会，共产党员李大钊、谭平山、毛泽东等10人当选为中央执行委员或候补执行委员。大会的召开标志着第一次国共合作正式形成。,1924年1月20日－1923年1月30日,广州,会议事件,"孙中山,李大钊,谭平山,毛泽东",,,,,,,,,,
国民党陆军军官学校（黄埔军校）开学,,为造就革命武装的骨干力量，国共合作创办的国民党陆军军官学校（黄埔军校）开学。6月16日，军校举行开学典礼。孙中山任军校总理，蒋介石任校长，廖仲恺任党代表。中国共产党从各地选派许多党、团员和革命青年到军校学习。11月，周恩来出任军校政治部主任，健全政治工作制度。周恩来主持的中共广东区委从军校第一期毕业生中抽调部分党、团员作为骨干，把大元帅大本营的铁甲车队改组为一支实际受共产党指挥的革命武装。,1924年5月,广州,成立事件,"孙中山,蒋介石,廖仲恺",黄埔军校,,,,,,,,,
农民运动讲习所开学,,国共合作举办的农民运动讲习所在广州正式开学。到1926年9月，在共产党人彭湃、毛泽东等相继主持下，广州农民运动讲习所连续举办六届，培训700多名农民运动骨干。,1924年7月3日,广州,成立事件,,农民运动讲习所,,,,,,,,,
中国共产党第四次全国代表大会,,大会提出无产阶级在民主革命中的领导权问题和工农联盟问题，对民主革命的内容作了更加完整的规定。这是中国共产党在总结建党以来尤其是国共合作一年来实践经验基础上，对中国革命问题认识的重大进展。大会决定在全国范围内加强党的组织建设，规定以支部作为党的基本组织。大会选举产生中央执行委员会，中央执行委员会选举组成中央局，陈独秀为总书记。,1925年1月11日－1925年1月22日,上海,会议事件,陈独秀,,,,,,,,,,
第二次全国劳动大会召开,,第二次全国劳动大会在广州召开，中华全国总工会成立。,1925年5月1日－1925年5月7日,广州,会议事件,,,,,,,,,,,
中华全国总工会成立,,第二次全国劳动大会在广州召开，中华全国总工会成立。,1925年5月,广州,成立事件,,中华全国总工会,,,,,,,,,
五卅运动,,中国共产党领导的反对帝国主义暴行的五卅运动在上海爆发，并迅速席卷全国，约1700万各阶层群众直接参加斗争，标志着大革命高潮的到来。,1925年5月30日,上海,运动事件,"李立三,罗亦农",,,,,,,,,,
省港大罢工,,广州、香港爆发省港大罢工。这是中国工人运动史上持续时间最长的一次政治大罢工。,1925年6月-1926年10月,"广州,香港",运动事件,罗亦农,,,,,,,,,,
中华民国国民政府成立,,其所属部队随后改编为国民革命军六个军。周恩来等共产党员分别在第一、第二、第三、第四、第六军中担任副党代表兼政治部主任等职务。,1925年7月1日,广州,成立事件,周恩来,中华民国国民政府,,,,,,,,,
中央执行委员会扩大会议召开,,中央执行委员会扩大会议在北京召开。会议发布告农民书，提出解除农民困苦的根本办法是实行“耕地农有”。会议强调北方地区工作的重要性，决定加强对北方革命的领导。会后，中共北方区执行委员会成立，李大钊任书记。,1925年10月,北京,会议事件,李大钊,,,,,,,,,,
中共北方区执行委员会成立,,,1925年11月,北京,成立事件,李大钊,,,,,,,,,,
《中国社会各阶级的分析》发表,,毛泽东发表《中国社会各阶级的分析》,1925年12月1日,,文献事件,毛泽东,,,,,,,,,,
中山舰事件,“三二O”事件,蒋介石制造中山舰事件。从此加紧限制共产党的活动。5月，在国民党二届二中全会上提出《整理党务案》，从国民党领导机构中排挤共产党人，由此逐步控制了国民党、国民政府和国民革命军的大权。,1926年3月20日,广州,战役事件,蒋介石,,,,,,,,,,
北伐战争,,国民革命军在广州誓师北伐。到11月，基本消灭军阀吴佩孚、孙传芳的势力。在北伐战争中，以共产党员、共青团员为骨干的叶挺独立团屡破强敌。随着北伐的胜利进军，共产党领导的湘鄂赣等省工农运动蓬勃发展。,1926年7月-1928年12月,广州,战役事件,"黄克诚,萧克,白崇禧",叶挺独立团,,,,,,,,,
