事件A,关系,事件B
红军长征,包含,湘江战役
红军长征,包含,黎平会议 
红军长征,包含,遵义会议 
红军长征,包含,四渡赤水
红军长征,包含,巧渡金沙江
红军长征,包含,强渡大渡河
红军长征,包含,飞夺泸定桥
抗日战争,包含,淞沪会战
抗日战争,包含,台儿庄大捷
抗日战争,包含,卢沟桥事变
抗日战争,包含,平津战役
抗日战争,包含,平型关大捷
抗日战争,包含,忻口战役
抗日战争,包含,雁门关伏击战
抗日战争,包含,夜袭阳明堡日军机场
抗日战争,包含,百团大战
百团大战,包含,涞灵战役
百团大战,包含,榆辽战役
中国社会主义青年团第一次全国代表大会召开,顺承,中国社会主义青年团成立
第二次全国劳动大会召开,顺承,中华全国总工会成立
中央执行委员会扩大会议召开,顺承,中共北方区执行委员会成立
中央临时政治局成立,顺承,八七会议
八七会议,顺承,土地革命和武装反抗国民党反动派的总方针的确定
八七会议,顺承,中央临时政治局成立
红军第一军团成立,顺承,红军第三军团成立
红军第三军团成立,顺承,红军第二军团成立
中华苏维埃第一次全国代表大会召开,顺承,中华苏维埃共和国临时中央政府成立
中华苏维埃第一次全国代表大会召开,顺承,中华苏维埃共和国中央革命军事委员会成立
陕甘边区苏维埃政府成立,顺承,革命军事委员会成立
东征战役,顺承,西征战役
中国共产党苏区代表会议,顺承,中国共产党白区代表会议
忻口战役,顺承,雁门关伏击战
雁门关伏击战,顺承,夜袭阳明堡日军机场
挽救教育危机联合大游行,顺承,“反饥饿”、“反内战”示威大游行
全国土地会议召开,顺承,《中国土地法大纲》发布
中央十二月会议,顺承,《目前形势和我们的任务》
《关于在中央人民政府内组织中国共产党党委会的决定》,顺承,《关于在中央人民政府内建立中国共产党党组的决定》
中国人民解放军空军领导机构成立,顺承,海军、炮兵等军兵种部队及领导机构成立
周恩来访问印度、缅甸,顺承,和平共处五项原则
全国一届全国人大二次会议,顺承,《中华人民共和国兵役法》
《关于整风运动的指示》,顺承,整风运动
中共八大二次会议召开,顺承,“大跃进”运动
《人民日报》发表社论和通讯,顺承,“农业学大寨”运动
《关于在全党全军开展整风运动的指示》,顺承,《中华人民共和国婚姻法》
科学技术是第一生产力,顺承,七届全国人大常委会第三次会议
《关于在县级以上党政领导班子、领导干部中深入开展以“讲学习、讲政治、讲正气”为主要内容的党性党风教育的意见》,顺承,《关于实行党风廉政建设责任制的规定》
《关于加强中央纪委派驻机构建设的意见》,顺承,《关于农村土地征收、集体经营性建设用地入市、宅基地制度改革试点工作的意见》
《中国共产党党组工作条例（试行）》,顺承,《关于大力推进大众创业万众创新若干政策措施的意见》
十二届全国人大常委会第十五次会议,顺承,《关于积极推进“互联网+”行动的指导意见》
《关于建立健全党和国家功勋荣誉表彰制度的意见》,顺承,亚洲基础设施投资银行成立
全国宗教工作会议,顺承,《巴黎协定》
《关于打赢脱贫攻坚战三年行动的指导意见》,顺承,《关于做好证明事项清理工作的通知》
《关于加强党的政治建设的意见》,顺承,《中国共产党重大事项请示报告条例》
十九届中央纪委五次全会,顺承,《关于推动药品集中带量采购工作常态化制度化开展的意见》
《新时代公民道德建设实施纲要》,顺承,《新时代爱国主义教育实施纲要》
中国在巴黎和会上外交失败,因果,五四运动
九一八事变,因果,抗日救亡运动
九一八事变,因果,西安事变
九一八事变,因果,抗日战争
国民党撕毁停战协定和政协协议,因果,全面内战爆发
《关于整风运动的指示》,因果,反右派斗争
整风运动,因果,反右派斗争
中央政治局扩大会议（北戴河）,因果,大炼钢铁运动
中央政治局扩大会议（北戴河）,因果,人民公社化运动
《关于传达石油工业部〈关于大庆石油会战情况的报告〉的通知》,因果,“工业学大庆”运动
