姓名,别名,性别,籍贯,党派,出生时间,死亡时间
毛泽东,,男,湖南湘潭,中国共产党,1893年12月26日,1976年9月9日
周恩来,,男,浙江绍兴,中国共产党,1898年3月5日,1976年1月8日
刘少奇,,男,湖南宁乡,中国共产党,1898年11月24日,1969年11月12日
朱德,,男,四川仪陇,中国共产党,1886年12月1日,1976年7月6日
任弼时,,男,湖南汨罗,中国共产党,1904年4月30日,1950年10月27日
邓小平,邓先圣、邓希贤,男,四川广安,中国共产党,1904年8月22日,1997年2月19日
陈云,,男,江苏青浦（今属上海）,中国共产党,1905年6月13日,1995年4月10日
陈赓,,男,湖南湘乡,中国共产党,1903年2月27日,1961年3月16日
陈毅,陈世俊,男,四川乐至,中国共产党,1901年8月26日,1972年1月6日
戴秉国,,男,贵州印江,中国共产党,1941年3月,
邓力群,,男,湖南桂东,中国共产党,1915年11月27日,2015年2月10日
邓颖超,,女,河南光山,中国共产党,1904年2月4日,1992年7月11日
邓子恢,,男,福建龙岩,中国共产党,1896年8月16日,1972年12月10日
方毅,,男,福建厦门,中国共产党,1916年2月26日,1997年10月17日
谷牧,,男,山东荣成,中国共产党,1914年9月,2009年11月6日
郭沫若,郭开贞,男,四川乐山,,1892年11月16日,1978年6月12日
贺龙,贺文常,男,湖南桑植,中国共产党,1896年3月22日,1969年6月9日
胡乔木,胡鼎新,男,江苏盐城,中国共产党,1912年6月1日,1992年9月28日
胡耀邦,,男,湖南浏阳,中国共产党,1915年11月20日,1989年4月15日
黄克诚,黄时瑄,男,湖南永兴,中国共产党,1902年10月1日,1986年12月28日
李达,,男,湖南零陵,中国共产党,1890年10月2日,1966年8月24日
李立三,李隆郅、李能至、李成,男,湖南醴陵,中国共产党,1899年11月18日,1967年6月22日
李先念,,男,湖北黄安（今红安）,中国共产党,1909年6月23日,1992年6月21日
李德生,,男,河南新县,中国共产党,1916年4月,2011年5月8日
廖承志,,男,广东惠阳,中国共产党,1908年9月25日,1983年6月10日
刘伯承,刘明昭、刘伯坚,男,四川开县（现重庆市开州区）,中国共产党,1892年12月4日,1986年10月7日
陆定一,,男,江苏无锡,中国共产党,1906年6月9日,1996年5月9日
罗荣桓,罗慎镇,男,湖南衡山,中国共产党,1902年11月26日,1963年12月16日
聂荣臻,聂云臻,男,四川江津,中国共产党,1899年12月29日,1992年5月14日
彭真,傅懋恭,男,山西省曲沃县侯马镇垤上村,中国共产党,1902年10月12日,1997年4月26日
