历史文献名称,文献别称,历史文献发表时间,文献类型,党史人物,思想理念
《中国共产党对于时局的主张》发表,,1922年6月15日,其他文献,,
《中国社会各阶级的分析》发表,,1925年12月1日,领导人文献,毛泽东,
《湖南农民运动考察报告》发表,,1927年3月,领导人文献,毛泽东,
《调查工作》,《反对本本主义》,1930年5月,领导人文献,毛泽东,“没有调查，没有发言权”
《新的革命高潮与一省或几省首先胜利》决议,,1930年6月11日,其他文献,,形成系统的“左”倾冒险主张
《实践论》,,1937年7月,领导人文献,毛泽东,
《矛盾论》,《矛盾统一法则》,1937年8月,领导人文献,毛泽东,
《中共中央为公布国共合作宣言》发表,,1937年9月22日,其他文献,,
《关于大量发展党员的决议》,,1938年3月15日,其他文献,,
《论持久战》,,1938年5月26日-1938年6月3日,领导人文献,毛泽东,党的抗日持久战战略总方针
《中共中央为抗战两周年纪念对时局宣言》发表,,1939年7月7日,其他文献,,坚持抗战、反对投降，坚持团结、反对分裂，坚持进步、反对倒退
《〈共产党人〉发刊词》发表,,1939年10月4日,领导人文献,毛泽东,
《新民主主义论》发表,,1940年1月,领导人文献,毛泽东,
《关于回回民族问题的提纲》,,1940年4月,其他文献,,
《关于抗战中蒙古民族问题提纲》,,1940年7月,其他文献,,
《陕甘宁边区施政纲领》发表,,1941年5月1日,其他文献,,
26国签署《联合国家宣言》,,1942年1月1日,其他文献,,国际反法西斯统一战线
《关于统一抗日根据地党的领导及调整各组织间关系的决定》,,1942年9月1日,其他文献,,
《关于拥护军队的决定》,,1943年1月15日,其他文献,,
《关于拥护政府爱护人民的决定》,,1943年1月25日,其他文献,,
《关于中央机构调整及精简的决定》,,1943年3月20日,其他文献,毛泽东、刘少奇、任弼时,
《对日寇的最后一战》,,1945年8月9日,领导人文献,毛泽东,
《终战诏书》,,1945年8月15日,其他文献,天皇裕仁,
国共双方签署《政府与中共代表会谈纪要》,双十协定,1945年10月10日,其他文献,毛泽东、周恩来、王若飞,
《关于扩兵与编组野战军的指示》,,1945年9月21日,其他文献,,
《关于土地问题的指示》,五四指示,1946年5月4日,其他文献,,“耕者有其田”政策
《以自卫战争粉碎蒋介石的进攻》发表,,1946年7月20日,其他文献,,
《中国土地法大纲》发布,,1947年10月10日,其他文献,,
《目前形势和我们的任务》,,1947年12月25日－1947年12月29日,领导人文献,毛泽东,最基本的政治纲领、新民主主义革命的三大经济纲领、十大军事原则
《关于统一全军组织及部队番号的规定》,,1948年11月1日,其他文献,,
《向全国进军的命令》,,1949年4月21日,其他文献,毛泽东、朱德,
《论人民民主专政》,,1949年6月30日,领导人文献,,
《丢掉幻想，准备斗争》等五篇评论发表,,1949年8月14日－1949年9月16日,领导人文献,毛泽东,
《关于在中央人民政府内组织中国共产党党委会的决定》,,1949年11月9日,其他文献,,
《关于在中央人民政府内建立中国共产党党组的决定》,,1949年11月9日,其他文献,,
《关于严禁鸦片烟毒的通令》,,1950年2月24日,其他文献,,
《关于统一国家财政经济工作的决定》,,1950年3月3日,其他文献,,
《关于在全党全军开展整风运动的指示》,,1950年5月1日,其他文献,,
《中华人民共和国婚姻法》,,1950年5月1日,其他文献,,
《关于镇压反革命活动的指示》,,1950年10月10日,其他文献,,
《关于治理淮河的决定》,,1950年10月14日,其他文献,,
《关于加强人民司法工作的指示》,,1950年11月3日,其他文献,,
《关于积极推进宗教革新运动的指示》,,1951年3月5日,其他文献,,
中央人民政府和西藏地方政府签订《关于和平解放西藏办法的协议》,“十七条协议”,1951年5月23日,其他文献,,
《关于知识分子的改造问题》报告,,1951年9月29日,领导人文献,,
《关于在学校中进行思想改造和组织清理工作的指示》,,1951年11月30日,领导人文献,,
《毛泽东选集》第一卷出版,,1951年10月,领导人文献,毛泽东,
《关于实行精兵简政、增产节约、反对贪污、反对浪费和反对官僚主义的决定》,,1951年12月1日,其他文献,,
《关于首先在大中城市开展“五反”斗争的指示》,,1952年1月26日,其他文献,,
《中华人民共和国惩治贪污条例》公布施行,,1952年4月21日,其他文献,,
《关于加强人民体育运动工作的报告》,,1954年1月8日,领导人文献,毛泽东,
《中华人民共和国民族区域自治实施纲要》公布施行,,1952年8月9日,其他文献,,
《中华人民共和国全国人民代表大会及地方各级人民代表大会选举法》公布施行,,1953年3月1日,其他文献,,
《为准备普选进行全国人口调查登记的指示》,,1953年4月3日,其他文献,,
中苏两国政府签订《关于苏维埃社会主义共和国联盟政府援助中华人民共和国中央人民政府发展中国国民经济的协定》,,1953年5月15日,其他文献,,
《为动员一切力量把我国建设成为一个伟大的社会主义国家而斗争——关于党在过渡时期总路线的学习和宣传提纲》,,1953年12月28日,其他文献,,
中共中央作出《关于实行粮食的计划收购与计划供应的决议》,,1953年10月16日,其他文献,,
作出《关于在全国实行计划收购油料的决定》,,1953年11月15日,其他文献,,
中共中央作出《关于加强干部管理工作的决定》,,1953年11月24日,其他文献,,
颁布新中国成立后第一部《中国人民解放军政治工作条例（草案）》,,1954年4月15日,其他文献,,
中央政治局作出《关于成立党的军事委员会的决议》,,1954年9月28日,其他文献,毛泽东、彭德怀,
作出《关于恢复新疆生产建设兵团的决定》,,1981年12月3日,其他文献,,
《中华人民共和国兵役法》,,1955年7月30日,全国人大文献,,
