组织机构名称,组织机构别称,组织机构成立时间,组织机构成立地点,组织机构类型,主要人物,,,,,,,,,
北京大学马克思主义研究会,,1920年3月,北京,中国共产党早期组织,李大钊,,,,,,,,,
上海马克思主义研究会,,1920年5月,上海,中国共产党早期组织,陈独秀,,,,,,,,,
上海共产党早期组织,,1920年8月,上海,中国共产党早期组织,陈独秀,,,,,,,,,
北京共产党早期组织,,1920年10月,北京,中国共产党早期组织,李大钊,,,,,,,,,
长沙共产党早期组织,,1920年,长沙,中国共产党早期组织,毛泽东、何叔衡,,,,,,,,,
济南共产党早期组织,,1921年,济南,中国共产党早期组织,王尽美、邓恩铭,,,,,,,,,
广州共产党早期组织,,1920年,广州,中国共产党早期组织,陈独秀,,,,,,,,,
旅日华人中的共产党早期组织,,1920年,东京,中国共产党早期组织,陈独秀,,,,,,,,,
旅法华人中的共产党早期组织,,1921年,巴黎,中国共产党早期组织,陈独秀,,,,,,,,,
中国共产党,,1921年7月23日,上海、浙江,中央/地方组织机构,,,,,,,,,,
中国劳动组合书记部,,1921年8月11日,上海,群众组织,,,,,,,,,,
中国社会主义青年团,,1922年5月,广州,群众组织,,,,,,,,,,
国民党陆军军官学校,黄埔军校,1924年5月,广州,国共合作组织,孙中山、蒋介石、廖仲恺,,,,,,,,,
农民运动讲习所,,1924年7月3日,广州,国共合作组织,,,,,,,,,,
中华全国总工会,,1925年5月,广州,群众组织,,,,,,,,,,
中华民国国民政府,,1925年7月1日,广州,政权组织,周恩来,,,,,,,,,
广州苏维埃政府,,1927年12月11日,广州,政权组织,,,,,,,,,,
中国左翼作家联盟,,1930年3月,上海,群众组织,,,,,,,,,,
红军第一军团,,1930年6月,,中共领导的军事组织,朱德、毛泽东、廖大珠、熊尚林,,,,,,,,,
红军第三军团,,1930年6月,,中共领导的军事组织,彭德怀、滕代远,,,,,,,,,
红军第二军团,,1930年7月,,中共领导的军事组织,贺龙、周逸群,,,,,,,,,
红军第一方面军,,1930年8月23日,,中共领导的军事组织,朱德、毛泽东、熊尚林,,,,,,,,,
中国共产党临时中央政治局成立（第二次）,,1931年9月,上海,中央/地方组织机构,博古,,,,,,,,,
红军第四方面军,,1931年11月7日,,中共领导的军事组织,徐向前、陈昌浩,,,,,,,,,
中华苏维埃共和国临时中央政府,,1931年11月,江西瑞金,政权组织,,,,,,,,,,
中华苏维埃共和国中央革命军事委员会,,1931年11月25日,,政权组织,朱德,,,,,,,,,
红军第五军团,,1931年12月,江西宁都,中共领导的军事组织,季振同、萧劲光、刘少奇、董振堂、黄中岳,,,,,,,,,
陕甘边区苏维埃政府,,1934年11月,,政权组织,习仲勋,,,,,,,,,
革命军事委员会,,1934年11月,,中央/地方组织机构,刘志丹,,,,,,,,,
中国工农红军总司令部,,1933年5月8日,,中共领导的军事组织,朱德、周恩来,,,,,,,,,
红军第六军团,,1934年6月,,中共领导的军事组织,任弼时、萧克、王震,,,,,,,,,
红六军团军政委员会,,1934年8月,,中共领导的军事组织,任弼时、萧克、王震,,,,,,,,,
红军第二方面军,,1936年7月5日,,中共领导的军事组织,贺龙、任弼时、萧克,,,,,,,,,
国民革命军第八路军,,1937年8月25日,,中共领导的军事组织,,,,,,,,,,
晋察冀边区临时行政委员会,,1938年1月10日,河北,政权组织,,,,,,,,,,
八路军香港办事处,,1938年1月,,政权组织,,,,,,,,,,
中共中央南方局,,1939年1月6日,重庆,中央/地方组织机构,周恩来,,,,,,,,,
华中新四军八路军总指挥部,,1940年11月17日,江苏,中共领导的军事组织,叶挺、刘少奇、陈毅,,,,,,,,,
中共晋冀鲁豫中央局,,1945年8月,,政权组织,,,,,,,,,,
内蒙古自治政府,,1947年5月1日,内蒙古,政权组织,乌兰夫,,,,,,,,,
华北人民政府,,1948年9月26日,,政权组织,董必武,,,,,,,,,
中华全国民主妇女联合会,,1949年,,群众组织,,,,,,,,,,
中华全国文学艺术界联合会,,1949年7月,,群众组织,,,,,,,,,,
中国人民银行,,1948年12月1日,,中央/地方组织机构,,,,,,,,,,
中华人民共和国中央人民政府,国务院,1949年10月1日,北京,政权组织,,,,,,,,,,
中央人民政府政务院,,1949年10月21日,,政权组织,,,,,,,,,,
中央人民政府海关总署,,1949年10月25日,,政权组织,,,,,,,,,,
中国人民解放军空军,,1949年11月11日,,中共领导的军事组织,,,,,,,,,,
新疆军区生产建设兵团,,1954年10月7日,,中央/地方组织机构,,,,,,,,,,
中国人民解放军第二炮兵,,1966年7月1日,,中共领导的军事组织,,,,,,,,,,
中央顾问委员会,,1982年,,中央/地方组织机构,,,,,,,,,,
中国人民武装警察部队,,1983年4月5日,北京,中共领导的军事组织,,,,,,,,,,
中国人民解放军驻吉布提保障基地,,2017年7月11日,,中共领导的军事组织,,,,,,,,,,
向导周报社,,1922年9月13日,,中央/地方组织机构,,,,,,,,,,
新青年杂志社,原名《青年杂志》,1915年9月15日,上海,中国共产党早期组织,陈独秀、李大钊、胡适、鲁迅,,,,,,,,,
前锋杂志社,,1947年,上海,教育文化组织,瞿秋白,,,,,,,,,
中国共产党党报杂志社,,1920年11月,,中央/地方组织机构,,,,,,,,,,
布尔塞维克杂志社,,1927年10月,北京,中央/地方组织机构,瞿秋白,,,,,,,,,
红旗杂志社,,1958年6月1日,北京,中央/地方组织机构,,,,,,,,,,
解放周刊社,,1937年4月24日,陕西,中央/地方组织机构,毛泽东、周恩来,,,,,,,,,
红色中华通讯社,,1931年12月,江西,中央/地方组织机构,瞿秋白,,,,,,,,,
新华报社,,1938年1月11日,江苏,教育文化组织,周恩来,,,,,,,,,
